"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Oribacterium",0.000535390967638523,0.110482930366067,3.40893204184037e-08,1.58068029273393e-05
"Streptococcus",7.59637287704891e-05,0.0558923136407824,4.01283694902064e-08,1.58746766478819e-05
"Lactococcus",0.000415940803318014,0.104571786297527,6.54550122561432e-06,0.00158226394942239
"Granulicatella",0.000702435959512654,0.12762123301867,9.50830250895009e-05,0.0149420529335598
"T4-like viruses",0.00566578320783547,0.308876125871025,0.00116586582114327,0.082278043250542
"Schizosaccharomyces",0.00941268606592959,0.372528443269896,0.0026916941432969,0.130124718017777
"unclassified (derived from Bacteria)",0.00939604163106323,0.449684086686446,0.00168407949046543,0.136653106179699
"Desulfohalobium",0.0104275519389964,0.384854320843544,0.00456103075346707,0.161693852339383
"Caenorhabditis",0.0108545705883088,0.392054611421119,0.0059584513144635,0.193058100120865
"Weissella",0.00960430543679555,0.440125857064104,0.00607736246791152,0.249383674814489
"Gloeobacter",0.017164001725583,0.450047696046905,0.0100732428568999,0.266123921051614
"Catonella",0.0134118888850133,0.435620883511128,0.013613364972903,0.296045938001076
"Lambda-like viruses",0.02639359843759,0.485563241915153,0.0104664324403275,0.296465872145879
"Synechocystis",0.0344957415160938,0.507314392008654,0.0205254434314916,0.326037272096868
"Histophilus",0.0403629748363849,0.534263259840913,0.0124903881122072,0.32835558601192
"Sulfurihydrogenibium",0.0443057891917795,0.524560732084785,0.0216956702183678,0.351501273484277
"Moniliophthora",0.0641955493509347,0.538482870627594,0.0347257437053015,0.362370053468879
"Leptotrichia",0.0223725642171946,0.501542190841373,0.0178379270605893,0.364393019605209
"Pasteurella",0.0184670032094688,0.489541372919247,0.0175688672404461,0.369749608795515
"Pseudoramibacter",0.012779922008042,0.46598061931585,0.0156867565516189,0.37047829803922
"Natranaerobius",0.0372093172206183,0.508554471760551,0.0279978408827815,0.3746944222781
"Dictyoglomus",0.042317287715143,0.526538625431687,0.0251883100207133,0.377640298931558
"Opitutus",0.0831659773164718,0.583699793746958,0.0192343962538023,0.379330803991058
"unclassified (derived from Chroococcales)",0.0803300134216014,0.54216113325248,0.0556354506075559,0.38782850240188
"Bulleidia",0.00843445476380392,0.445153139625149,0.0199630144515577,0.389016407045475
"Collinsella",0.059533057409776,0.566792055980234,0.020031725117967,0.389939462223035
"Dehalococcoides",0.0470865219508899,0.551053329084635,0.0228999613360448,0.393085595328123
"Chelativorans",0.102154870118323,0.57210061703696,0.062319123867113,0.394653822621919
"unclassified (derived from Alicyclobacillaceae)",0.0177826286974094,0.48507913441325,0.0280576837904924,0.398560429696784
"Lactobacillus",0.0520129876077311,0.560028226940557,0.0245575874924596,0.402674110701432
"Phytophthora",0.0869791074785725,0.581309468459116,0.0350744191669167,0.406366032178864
"Selenomonas",0.0417128583548017,0.550060459263127,0.0267060938683495,0.407289703808044
"Shuttleworthia",0.0213458746031473,0.512139237501386,0.0270414145833425,0.408136404220808
"Babesia",0.0631737753814874,0.541748644031945,0.0569091088783811,0.412121084161124
"Dictyostelium",0.0567828491755932,0.554085444446103,0.0381697264592052,0.413100664527787
"Akkermansia",0.103064901445853,0.596831686209961,0.0323170832638887,0.415703229929404
"unclassified (derived from Ruminococcaceae)",0.0273173609035093,0.531309467271477,0.0296170289228217,0.415949727905758
"Aggregatibacter",0.0440622252269464,0.539715616308173,0.0328559939680505,0.41742971863982
"Moorella",0.0271983043170709,0.524313657967396,0.0314041400814848,0.419870289247338
"Aurantimonas",0.11416561526767,0.584336929395305,0.0513675500411997,0.420349672107677
"SPbeta-like viruses",0.128439102489904,0.590689568906603,0.0577279208147998,0.421556838998316
"Candidatus Koribacter",0.0845044001724854,0.564073795617118,0.0547038990002686,0.426969683623944
"Conexibacter",0.0944900436767693,0.570655175854535,0.0656674090322914,0.427421344717922
"Alphatorquevirus",0.118210312217408,0.589854879888319,0.0574560283737761,0.428763515253931
"Nakaseomyces",0.123932760058412,0.598418019673506,0.0598220797642511,0.435793342453015
"Heliobacterium",0.0365014653708293,0.54256511180137,0.0373257616320861,0.438908319337506
"Porphyromonas",0.0480337039891205,0.555164980131527,0.037176362079725,0.438949862962234
"Syntrophomonas",0.0230921339443826,0.510311461144874,0.0397028694715163,0.439156057774569
"Coccidioides",0.0895373435887977,0.568471848410964,0.0648661672223949,0.439371985302654
"unclassified (derived from Myoviridae)",0.126123812134737,0.600240055254696,0.0624421774014438,0.440029354160703
"Thalassiosira",0.0741496266235817,0.557634278874832,0.0610131099653582,0.440035245786919
"Persephonella",0.102713282445729,0.574437404428952,0.0689183805533619,0.440142449856098
"Methanoplanus",0.0575015970873091,0.54304968068658,0.0635465625694785,0.451266584687106
"Tsukamurella",0.121132132131478,0.604822972947506,0.06298440157588,0.452790848546385
"Methanosphaerula",0.104979474545571,0.575152536163733,0.0870382972625231,0.455611864885638
"Pelotomaculum",0.0490973038698988,0.555602483408355,0.0451112728920521,0.457649198491595
"Rickettsiella",0.14166070271582,0.594212729618673,0.103406688387434,0.458002493986368
"Methanococcus",0.0816008556725818,0.57560117824924,0.0582740835849143,0.459608732338938
"Denitrovibrio",0.0640166361770228,0.55987196929681,0.0534765507015717,0.460230886848191
"Desulfurispirillum",0.128392718500773,0.601991943228379,0.077576963956852,0.460452960437009
"Acetobacter",0.110686098751776,0.584715734079376,0.0754543091967535,0.468486640431415
"Megasphaera",0.10049245083752,0.599171069728157,0.0472439817982066,0.468852850109736
"Exiguobacterium",0.0736289872511616,0.573194202153172,0.0554598823581629,0.46976410001113
"Acaryochloris",0.119202439136239,0.600459184292799,0.0772891179987761,0.473178319208077
"Maricaulis",0.171120475306779,0.624358263771832,0.104100642518822,0.475577618742816
"Desulfotomaculum",0.0567288948625879,0.562482835357311,0.0554532682313529,0.479602831262221
"Crocosphaera",0.135444179373433,0.607314263784328,0.0883211988110699,0.484117190632796
"Microcystis",0.0726300259025125,0.564991375389049,0.0800962539070482,0.484194790545928
"Fibrobacter",0.220613089566715,0.671958356990339,0.0563896995993924,0.48478756604521
"SP6-like viruses",0.101137685436144,0.576578259386151,0.0964800241701035,0.485093435429266
"Aeromicrobium",0.163106151513549,0.619198809162182,0.105806147013339,0.485252674519256
"Rhodomonas",0.076259798921073,0.543666640200321,0.125785030864569,0.488134364222913
"Scheffersomyces",0.101710328964432,0.562631009591699,0.105459023026789,0.488510502770758
"Staphylococcus",0.0907844045476886,0.591152304646554,0.0632924211623691,0.489003792558395
"Trichomonas",0.0942928014424403,0.593755912233737,0.0634876345498115,0.491176007960656
"Dialister",0.0692969361390091,0.575349339474053,0.0601556816405952,0.491907634789353
"Leuconostoc",0.0775501999941789,0.580210715981296,0.0643506879400964,0.494571117749227
"Ochrobactrum",0.193260315098888,0.63704203224027,0.115776139624797,0.496769986111221
"Stenotrophomonas",0.117687460675287,0.595843872319463,0.101362166414423,0.503142382271541
"Ammonifex",0.153046511706714,0.630958927362568,0.0787601046625517,0.504249027711749
"Chlorovirus",0.172600172296631,0.62555102697242,0.113726748666309,0.505643179314577
"Anoxybacillus",0.0816230362859336,0.580422848369347,0.0810878164948855,0.506704823819979
