"","rab.all","rab.win.Control","rab.win.Tomato","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"Lambda-like viruses",-0.676578757669327,-2.01475972949697,1.11510723179538,3.13670928098736,0.503123338474116,6.15255225540175,1.40362900631194e-05,5.76676206335738e-11,3.90702968822257e-08,1.0825088224469e-05,0.0017403474246459
"Staphylococcus",4.48684581372679,4.20303083546943,4.82873600552615,0.662694810779484,0.201780377419827,3.37209393926348,1.40362900631194e-05,6.74691718190624e-09,1.98833990718406e-06,1.0825088224469e-05,0.0017403474246459
"Alphatorquevirus",-2.74783283676944,-4.7756384090819,-0.995277469165005,3.76168253048721,1.1479595269141,3.21370143183045,1.40362900631194e-05,8.34805117615622e-08,1.66493484376377e-05,1.0825088224469e-05,0.0017403474246459
"unclassified (derived from Bacteria)",2.11481193384844,1.50780387741956,2.90990367477362,1.37049302853759,0.561456764506948,2.48269541341964,1.40362900631194e-05,2.56569111231298e-07,4.88751914488331e-05,1.0825088224469e-05,0.0017403474246459
"Loa",-3.25602890186894,-4.57057605122057,-2.22144300001473,2.35200244252735,1.26240784185758,1.7866042645954,0.0300000134593123,6.59715350456002e-05,0.00536199352280373,0.0001009114724285,0.00759891886151613
"Plasmodium",-0.445683603240347,-1.01827822710862,-0.0948831038215996,0.925349802872463,0.46465145050272,1.83593443986703,0.0601879688843311,8.46214239716511e-05,0.00681151568341803,0.000446848816817857,0.0195314180605605
"Propionibacterium",1.75116881899142,1.40929760184468,2.02147841819754,0.577781259032105,0.370816630722802,1.50251348558163,0.0543891293928871,0.000119806656918458,0.00938576734150738,0.000270702981229297,0.0155899901223905
"Saccharomyces",-1.56537569703065,-1.9200704898014,0.38801788222737,2.36798491582901,1.23412846832535,1.78441112526063,0.0303939344895782,0.000255608086056743,0.0162702517857512,0.000232945073502349,0.0104124349018057
"Stenotrophomonas",0.205003308037085,0.0155648944179374,0.480823243901973,0.454007597284048,0.299012065205394,1.42670273164354,0.060787848839754,0.00064937574000092,0.0215525889312409,0.00093302517915521,0.024217149615636
"Malassezia",-2.93957036031591,-3.61348687251382,-1.79901316020561,1.76630062624003,1.11644178314206,1.44897780124611,0.0655868885280946,0.000538532325369301,0.0222884879030356,0.000948786507610037,0.0253065163453357
"Roseiflexus",2.49510252301847,2.61037473405082,2.31317670636786,-0.283835643015683,0.181988408678712,-1.46517074619261,0.0710000054200319,0.000520545882198415,0.0224147224012945,0.000998506137825023,0.028964342716837
"Brugia",-2.22956254550382,-3.16504650452078,-1.60964706907794,1.55833468868504,1.22988802438688,1.24001629548985,0.0855828878344609,0.000841494929092727,0.0315547210562422,0.00126579921626361,0.0340115288960662
"Streptococcus",9.97263764766379,10.5444962253176,8.02181602706885,-2.10409601376657,1.34250506216895,-1.34180013613159,0.108978207713552,0.000648266784172577,0.0316064329890332,0.00215211413973024,0.0522478846610946
"Vanderwaltozyma",-3.50799335073882,-4.081128994817,-1.16536441384347,2.93421278319356,1.53525945406058,1.57955501233071,0.0946000039443078,0.00116067192029415,0.0355364448144129,0.00288918357184611,0.0465941628296063
"Zygosaccharomyces",-3.60712945491845,-4.13127362308625,-2.02826786965869,2.07842247158895,1.47308320862061,1.27671749619486,0.11977604779519,0.00260502621723036,0.0503378213090766,0.00597776526878694,0.064955201893804
"Escherichia",3.90448935304679,2.97780891154676,4.27906944293006,1.18076171511968,0.913620366456033,1.17767951505676,0.131173767942746,0.00158018263374337,0.0536588632575666,0.00418913594145792,0.0685218877656507
"Meiothermus",1.05076931259926,1.16007658383844,0.918617629418469,-0.248733505806036,0.212442994840582,-1.13083421039509,0.0966000038520983,0.00348580693365614,0.0543893484496127,0.00467849487973327,0.05254975390344
"Deinococcus",1.88267033397996,1.95640113157223,1.74190239067945,-0.222145699382883,0.180454886231158,-1.1557341185627,0.0864000043664587,0.00307354477283594,0.0555690935163074,0.00352983394314664,0.0429826607655712
"Ilyobacter",2.92366185928411,3.06375998653979,2.81020258410124,-0.269620855592191,0.23192107245504,-1.10636572776345,0.0669866084507209,0.0027366629510518,0.0641439561463637,0.000740749962112191,0.0242139850229949
"Eremothecium",-2.57506115551567,-2.91593058659209,-1.57665042843956,1.32968931000416,0.899090814646415,1.26915373201293,0.122175567821583,0.00424993441051361,0.0667548381176764,0.00600116910952824,0.0679062647084441
"Salmonella",1.87882894335413,1.70120685959249,2.07335909728413,0.350262035295723,0.312093612928763,1.0691768563893,0.128600002761863,0.00348341027619055,0.069209961919212,0.00490326701162614,0.0679063892564117
"Natranaerobius",2.58091362473251,2.65005227057322,2.4065287278365,-0.243675995174747,0.197313345809206,-1.17322747735475,0.0465906903663246,0.00340715065135471,0.0707174176354806,0.000771016908787807,0.0194331699187452
"Thermaerobacter",1.8212118974617,1.92473375840375,1.68870069521027,-0.265231603443095,0.251944818101951,-0.994212213319695,0.104979007701268,0.00414320337637186,0.0714911914464817,0.00477739288575202,0.0581015011344572
"Thermosinus",3.47702338927337,3.62357067746658,3.21404973470428,-0.431423661120593,0.382114817633483,-1.04456173592233,0.141600002457162,0.00306979627158215,0.0716210367880389,0.00601948515880404,0.0793227938881239
"unclassified (derived from Alteromonadales)",-2.27503089403542,-2.87202057199426,-1.66258150673323,1.23234506658506,1.19870223545615,1.04539812598115,0.108400003376463,0.00405863634116524,0.0725587480154825,0.00313523782718829,0.0520705995887834
"unclassified (derived from Lachnospiraceae)",5.83639231455153,6.05290492485987,5.63522790019795,-0.360130508287506,0.304845378704523,-1.11285489150826,0.127000002803558,0.00315949138551244,0.0746702988954136,0.00365985407781073,0.0646755016833438
"Weissella",-0.3443107204587,-0.0942763458784421,-0.972213877838921,-0.857315634315462,0.686930669432502,-1.09096706784905,0.151969608328326,0.00472179124941298,0.0815655824097986,0.00873034705232848,0.0918112957145106
"Oenococcus",1.61019972747345,1.79188795026147,1.38590331068784,-0.464133105942946,0.489010406162628,-0.937995894732778,0.118176367779131,0.00440261448459172,0.0822376702575147,0.00355856372729438,0.0581130671456166
"Leuconostoc",2.73975914355146,2.95199724031796,2.43904999765787,-0.547252435871425,0.565631420283111,-0.935833902793638,0.147800002330194,0.00412299149180291,0.0828573808439974,0.00762445603931672,0.0883861113626896
"Archaeoglobus",0.654458685764294,0.767305389827626,0.36600979428823,-0.410048684317114,0.347673379254551,-1.07945553922481,0.132773447967594,0.00599375646838157,0.083870630433778,0.00772939444456472,0.0783732457647789
"Lactococcus",3.74744061451404,4.13006806979611,3.27848942284878,-0.712663440871128,0.611169486117812,-1.06747098944956,0.140371928097483,0.00423245870324936,0.0849239226961061,0.00596847734309035,0.079787396307544
"Anaerococcus",4.00764602410259,4.07236685441968,3.89860725626573,-0.212154830251913,0.234846586854758,-0.95115850271231,0.104779047700945,0.00533876269969178,0.0896956266615532,0.00321335166381606,0.0542340092046138
"unclassified (derived from Clostridiales)",5.49334164821481,5.53768096624712,5.31865924203898,-0.213766718029312,0.190714566745788,-1.01167386946855,0.137172568040509,0.00607879908682337,0.096665762934443,0.00512560349866851,0.0725941026157109
"Oscillatoria",-1.73827185398968,-1.97936218886565,-1.4077279421557,0.581251327609935,0.567260719764982,0.961385425403764,0.142000002448647,0.0132213531676799,0.10067789416927,0.015846597674771,0.10082091935349
"Idiomarina",0.719597440019515,0.385924230422042,0.910286630618335,0.521460416692864,0.549249759559025,0.944094202867582,0.135200002600047,0.00801158433933366,0.103262744611166,0.0059433739634978,0.0757685166558876
"Moritella",-1.43914913054704,-2.05134095738441,-0.992347367145547,1.0484385806572,1.0580456647947,0.945458284631283,0.145570888196525,0.0082597636930751,0.103663052307868,0.00804837731927515,0.0871276954955123
"Methanocorpusculum",2.26240813124727,2.35570561063358,2.05264877921009,-0.268130612761974,0.266277548741603,-0.92592749889,0.149170168269398,0.00856505819248836,0.104744392424576,0.0125613024746152,0.0995563623048813
"Desulfitobacterium",5.85363257288766,5.89696302553562,5.71374101699826,-0.186249509835677,0.200255466969742,-1.01976722208255,0.104379127700386,0.00720279617316267,0.10545777613682,0.00232713416614345,0.0493133157891847
"Nitrosomonas",0.940731268054748,0.818524212350273,1.08414465669079,0.249899973953831,0.249240591265265,0.93185495886609,0.154600002202264,0.0131953727507174,0.109001967920943,0.0156705167897118,0.107346910982304
"Ethanoligenens",6.14857852892371,6.23919487484095,5.94208073642297,-0.284985084701499,0.269747807861713,-0.950691198026748,0.14560000237405,0.00812289573267402,0.111236568409725,0.00631821429344649,0.0819007862006004
"Aerococcus",0.700042140522844,1.31348914006674,0.395433889859803,-0.935449101754941,0.95550142112244,-0.946140708960707,0.142171568130894,0.00867621290084036,0.112613043878491,0.00722610361774449,0.0850571122953204
"Salinibacter",0.879766953902579,0.965600292354054,0.658419629013826,-0.305501844902701,0.255218034827942,-1.05014383484308,0.136772648033614,0.0120430690299077,0.112661798821261,0.00959671133819741,0.0842143676291376
"Catenibacterium",3.99627672700391,3.8309515493131,5.2844441909366,1.54532148823182,1.41411481903891,0.928079099563813,0.132373527961295,0.0085051390865561,0.113780460171003,0.00406847950810799,0.0678967829370573
"unclassified (derived from Siphoviridae)",2.04669770858789,2.41582512023136,1.55731373400587,-0.873411687074838,1.02482031834215,-0.852376487303265,0.172565488812833,0.00912367441716995,0.116268615554419,0.0126737318409145,0.115559583308713
"Desulfobacterium",1.064313627951,1.1365818453361,0.886663255629871,-0.253179329226609,0.242603784419676,-0.923586411523691,0.141971608127134,0.0140791712427028,0.11994601426066,0.0136505228517612,0.0935887666934146
"Symbiobacterium",3.57027856001754,3.64063874584369,3.45385986010551,-0.236497426903414,0.26737359184021,-0.827242614435497,0.147370528232542,0.0106780477186024,0.120094780002925,0.0105084543939033,0.0950165836803647
"Dictyoglomus",2.10478519480042,2.16078405988847,1.99454414172486,-0.194620719493083,0.233938427443606,-0.813265967634443,0.125174967858246,0.0127828327678717,0.123543271359214,0.010753328714629,0.0810750999706452
"Pelotomaculum",3.91907911081699,4.01729045127981,3.80781913848583,-0.266081753113322,0.315701246816006,-0.819955742841776,0.19640000160302,0.0112372850344102,0.124386809380285,0.0229894347138929,0.149269301522627
"Beggiatoa",-1.55584785111218,-1.82169740583386,-1.11617961531967,0.670828871050367,0.659118784820008,0.923026820105145,0.16916616872742,0.01715018615865,0.12523346892435,0.0185839918595337,0.123033211004665
"Nakaseomyces",-1.69959622615004,-1.93796807528948,-0.739138894655484,1.16900428115834,1.03412778785778,0.989566292953063,0.159400002118291,0.0133816678177072,0.125486435698793,0.0152226395895127,0.111415412474451
"Holdemania",5.56720357387124,5.68551410794962,5.48513716467197,-0.198656820020379,0.213792900964823,-0.819874749211374,0.135000002604724,0.0114134137064691,0.126490836351163,0.00518715495031285,0.0729989565486672
"Alkaliphilus",5.72134004343833,5.75077148008726,5.58300979242974,-0.16728900188761,0.175786827260633,-0.89916126805035,0.12877424790725,0.011438421688292,0.126789171719983,0.00537460217800775,0.0697589084629704
"Geobacter",4.29659099729918,4.36124168001271,4.2415245392472,-0.156910243112202,0.205340846141679,-0.759181507026966,0.177564488941784,0.0135201843740916,0.131654696566874,0.0164899001926866,0.121951307590504
"Oceanithermus",-0.653647929942142,-0.556108019180556,-0.923865205900872,-0.371889091763396,0.371369174142603,-0.883558644935193,0.17160000192515,0.0199628640610833,0.131864482705767,0.0318248500725281,0.139953363453174
"Ferroglobus",-1.68613342961883,-1.5199333511492,-2.01280539202001,-0.50490104926051,0.571066607287109,-0.83491215300548,0.173000001904648,0.0203871534897684,0.132441932279904,0.0319621879668319,0.145387994616303
"Chloroflexus",1.70392430407188,1.77213982065003,1.56424112006052,-0.223196813710013,0.244889091819112,-0.848016636472921,0.179400001814798,0.0174611922107894,0.133556416019344,0.0250869254584425,0.139255229264844
"Catonella",-0.300191238682451,-0.17808078659943,-0.539384989023838,-0.373238273652889,0.44148276656173,-0.774045347652236,0.170365928757346,0.0192503910959214,0.139768375110923,0.0278439780034207,0.139428482967347
"Granulicatella",1.0587000875294,1.15719776012279,0.852129715585499,-0.33439233336543,0.391225733699748,-0.798465233169633,0.191361729315912,0.0175331375419237,0.140032584524496,0.0282697178982009,0.153736421296914
"Enterocytozoon",-2.23047372057291,-1.93667427869118,-2.58722218996423,-0.727471778745468,0.879241511323184,-0.790580346881515,0.179200001817514,0.0205402596650336,0.141036273690666,0.0275564420100024,0.142647914740211
"Ferrimonas",-0.507257098249841,-0.783554624705848,-0.144850030216888,0.616636332145693,0.741252429877462,0.828141444002785,0.17200000191926,0.0173010260595513,0.141398532032564,0.0166668470848037,0.123032736360234
"Toxoplasma",-2.69277913412759,-2.96014122757642,-1.31566211383405,1.52280469154404,1.35936154985655,0.896514549293401,0.226600001300029,0.0193456793425667,0.141955156986592,0.0553729026391565,0.220172169373216
"Cellulosilyticum",3.45356082828165,3.49361863444913,3.20225348637536,-0.276729542553355,0.287344541898062,-0.848043227546021,0.215400001403329,0.0166484919217482,0.14355551439195,0.0424853536556323,0.202520385723777
"Leptotrichia",3.18108132723175,3.28227846598778,3.05861512156946,-0.208783088827126,0.24547069526291,-0.764058686788532,0.179000001820235,0.0173167930895794,0.144647751653294,0.0202207993245145,0.134955901962171
"Methanospirillum",0.557524168240706,0.633233111241338,0.385085267419916,-0.259400669343218,0.291940079638678,-0.812334033409386,0.192561489349576,0.0243780385488811,0.146160513442128,0.0417168806425772,0.169157476920753
"Kangiella",-0.735666889703952,-0.881817960955303,-0.519076450679987,0.403072913544994,0.48318809221763,0.780236497333531,0.175964808900103,0.0242743896959123,0.150986292859669,0.027566790794345,0.1392690484032
"Eggerthella",5.05824915080049,5.20121150629368,4.86134851645761,-0.326549997638049,0.421208708285876,-0.752165743048927,0.198600001578096,0.017737218286543,0.151329137337951,0.0243719716815692,0.159268970880345
"Methylophaga",-2.65366630062013,-2.94953002686793,-2.26095223469837,0.711504144667495,0.850745692848315,0.777916392544843,0.185762849161099,0.0272580476474824,0.152195325325455,0.0354551300093096,0.158082265732809
"Fibrobacter",4.3276224758374,4.40906861625437,4.18022857663203,-0.385263017525002,0.585037958143586,-0.671151504563695,0.164367128610222,0.017841626983007,0.152424638655294,0.013936629933534,0.115028769386803
"Pyrococcus",0.857318359143781,0.96187036224793,0.743939670881788,-0.22283275142892,0.2797508058032,-0.757424601357682,0.189562089265733,0.0266503910822764,0.155766895518146,0.0367269371495378,0.163272662133406
"Shuttleworthia",3.65549490066134,3.7730592537904,3.37731868806042,-0.402088847287593,0.450457967783744,-0.819662154106543,0.172800001907558,0.0198612132463083,0.157162692309774,0.0138178787157115,0.119394855246964
"unclassified (derived from Gammaproteobacteria)",1.1024543763123,0.995238604711855,1.31942021034475,0.303507923788528,0.378057743605266,0.762871380239397,0.193961209389061,0.0239103173781308,0.158224147205049,0.0313636471887246,0.162133316877767
"Brevibacillus",2.58298247976022,2.66053669594017,2.51904463446137,-0.198298678929212,0.28668067633488,-0.682544745957555,0.209800001458726,0.0228780731609194,0.158749482356092,0.0378198488817684,0.183435917409086
"unclassified (derived from Euryarchaeota)",0.443134443338157,0.569372932048092,0.232428751931879,-0.315181219187172,0.32707565944122,-0.856669391482627,0.179000001820235,0.0264884279715741,0.159171174219069,0.026080776808331,0.144851479394449
"Heliobacterium",4.16503263301456,4.23294083051673,4.09975089860687,-0.244983134568635,0.362163643748163,-0.702752169516735,0.23860000119906,0.0208777391358703,0.159457774577124,0.055896122453398,0.238767618760092
"Caldanaerobacter",4.65384229037596,4.68827393438159,4.5601267968242,-0.143475556873478,0.190390160600187,-0.698908574244304,0.166166768653688,0.0211812144017543,0.160069544511249,0.0134581935092771,0.109828614016323
"Chitinophaga",3.1624253673318,3.20948728562349,2.99618737250993,-0.213805220198322,0.260521484432857,-0.781613285037356,0.209000001466861,0.0229604366832896,0.160272374557589,0.0342777934140163,0.182684116880051
"Pelobacter",3.28057889432766,3.39817106457073,3.20816630802373,-0.189213813194496,0.258072472310597,-0.694283301675672,0.197160569480131,0.0225423697566581,0.160533334476167,0.0259048799497716,0.156994279083799
"Desulfotomaculum",5.20605820306832,5.234235032897,5.0754946645158,-0.214937208559077,0.301262523879949,-0.693459373658723,0.230200001268754,0.0218082799394822,0.162613633659519,0.0451896663707809,0.212830253224717
"Brachyspira",4.25790534014937,4.30398046695422,4.12170377090639,-0.193508052387783,0.249101309113174,-0.744452707560003,0.210000001456701,0.0228957152999243,0.163163603350028,0.0315506289376258,0.176440407809526
"Campylobacter",4.22599549052903,4.04639342267669,4.34201711990051,0.268998193872801,0.322460414295454,0.797094480137058,0.183400001761655,0.0224305632009989,0.163603362132774,0.017960791530451,0.134960017409608
"Caldicellulosiruptor",5.13937667670473,5.16772104751825,4.96007861945625,-0.205554848399129,0.23051013734468,-0.757052607274936,0.220755850182441,0.022416140533093,0.163893492567076,0.0403032648466085,0.200817336143186
"unclassified (derived from Betaproteobacteria)",-4.04969181162963,-4.43682085606583,-3.30680904736504,1.14029751296045,1.22876561979191,0.851736701839768,0.17160000192515,0.0368690725634159,0.164416071521301,0.0295233497153002,0.14089755674709
"Desulfomicrobium",1.04889230263011,1.11802357871252,0.916082474909265,-0.224201735830577,0.27706960058235,-0.736602163595053,0.204800001510528,0.0295715647967054,0.165302860816136,0.0496812552772305,0.193968311920289
"Aeromonas",2.10113852032405,1.79261029594663,2.54059583922432,0.645068192105906,0.759653726780732,0.784593847131181,0.190361929287987,0.0234786985821916,0.16713619460024,0.0181666305830393,0.138739447740136
"Methanococcus",2.32047353328379,2.36785137120417,2.18391655775147,-0.196239896462063,0.258503275230468,-0.695050885728845,0.199200001571387,0.0257373275776917,0.168017792323895,0.0369034402130377,0.174526971395812
"Thermococcus",1.02250675251214,1.10512341946593,0.882122324953132,-0.228356785870722,0.270512731448139,-0.733760399675838,0.163967208600644,0.0297154183304649,0.172316849541808,0.0209364783822988,0.121976443870582
"Mycobacterium",2.62323257021245,2.54062016790173,2.7772219210188,0.286527387528214,0.379861462576326,0.6811431138576,0.21295740994489,0.0263409716471284,0.172671072213502,0.035377265149711,0.182491891298388
"Bermanella",-2.32233087902806,-2.65438053672948,-1.87586346248438,0.722001468179381,0.875968828144913,0.769411146204032,0.197560489491593,0.0336409541713458,0.173300518103729,0.0363965771071034,0.174732368366865
"Clostridium",10.1176744144385,10.1557720485279,10.0065238308026,-0.146934259987798,0.161883287815477,-0.740932515724147,0.174000001890197,0.025963724406408,0.173826468971046,0.0137280737838013,0.119766552854343
"Coprococcus",6.1749093012569,6.53492165290742,6.08581560233783,-0.424680246005985,0.559906912803981,-0.679377206388534,0.224800001316004,0.0258739052737526,0.174568973868264,0.0403900387538158,0.20451960447135
"Thioalkalivibrio",0.427906656959578,0.296501541873848,0.584580992929346,0.277399816837788,0.325107181142144,0.782033853166757,0.193561289377757,0.0345390166443261,0.175252962263668,0.0353790729394445,0.170311623586753
