"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"Staphylococcus",5.65468911821556e-05,0.0342115076359155,1.44891446117038e-10,1.09222660374843e-07
"Alphatorquevirus",0.000114321047371431,0.0390495134439148,2.65478483437719e-07,8.01595357034658e-05
"Lambda-like viruses",0.00022776910427431,0.0582010538958273,1.66945461329158e-06,0.000411303309560209
"unclassified (derived from Bacteria)",0.00193964962938713,0.294638534067763,6.60349235370844e-06,0.00125079010124612
"Streptococcus",0.00255949533703634,0.327501077112215,0.00149806375370421,0.170753323121114
"Crocosphaera",0.0117639754198428,0.469417627697577,0.0104829116558697,0.302546859292573
"Anoxybacillus",0.0189114380535859,0.563098964702563,0.0086884249948749,0.31027327854555
"Saccharomyces",0.0107914178637784,0.508698517079595,0.00671211008230035,0.311397396400273
"Dialister",0.0153651885339126,0.560864653587567,0.00676649682916712,0.325264353059843
"Sulfurihydrogenibium",0.0259007260123139,0.565196764042864,0.0138594925661041,0.336627435249353
"Mitsuokella",0.0130914010285082,0.54904772568268,0.00812336610082693,0.33689382541007
"Spirochaeta",0.024201931314064,0.606100073204026,0.00901952125877993,0.340782983504912
"Gloeobacter",0.0264616359454587,0.564581068668936,0.0177737488990016,0.346596323534804
"Macrococcus",0.0134536920269445,0.492263873701724,0.0136335622151152,0.349230886109419
"Malassezia",0.0245001212985451,0.578290812940859,0.0142928936279431,0.370163255610452
"Mycoplasma",0.0125693886710659,0.504674107758232,0.0129795918911349,0.373377094887893
"Acidaminococcus",0.0237889485043921,0.606135092878788,0.0126090840609516,0.379902107862592
"Eremothecium",0.032923924330005,0.595513676214027,0.0180632711662691,0.383876988438092
"Catenibacterium",0.0182501131917899,0.573981593935912,0.0141011459233841,0.391921158129052
"Acholeplasma",0.0333003845405464,0.61543902376866,0.0175912341203354,0.396713951023555
"Lactococcus",0.0274830227038561,0.622824340078011,0.016506233911012,0.413462773732343
"Cyanothece",0.0266377326993198,0.603391644247969,0.0185597495180217,0.414191213101293
"Sphaerobacter",0.020895409744636,0.565186651385971,0.0240754666578415,0.452438382431133
"Epulopiscium",0.0597819701559658,0.697099965379815,0.0257628210961895,0.464649185444418
"phiKZ-like viruses",0.139469580765228,0.743550133264229,0.0429930190865177,0.472863378716956
"SPbeta-like viruses",0.0646938701631598,0.628668931537991,0.0491965835593325,0.483246252480122
"Tetragenococcus",0.0604142007234266,0.705754261225136,0.0349851850255477,0.490308495797016
"Epsilon15-like viruses",0.0656504438821858,0.66152207403288,0.0438960460263577,0.493081196366131
"Cylindrospermopsis",0.0355266554107585,0.582757344687152,0.0479181726009386,0.499979082890295
"Oscillatoria",0.0730925684766558,0.667336151978563,0.0577435722095933,0.517906878369412
"Nitrosomonas",0.0355444638449851,0.617403471562349,0.0432151829290728,0.53298742138231
"Aciduliprofundum",0.0535241702527105,0.711251309156897,0.037578517798112,0.555549528953051
"Porphyra",0.102779352534947,0.689362880012039,0.0942103878985497,0.565499254256136
"Zygosaccharomyces",0.099484506485858,0.730493691516127,0.0565017975513293,0.573247183936397
"Ralstonia",0.0417722362604077,0.654733420608845,0.0470126260845061,0.579259800966748
"Scheffersomyces",0.128507631986489,0.738024574338421,0.0886029332651216,0.592893931060725
"Ureaplasma",0.119269057216178,0.744772169906203,0.0795423654696016,0.595304746419574
"Saccoglossus",0.150232802684624,0.751652939434946,0.0915929273819506,0.600397831466679
"Ferroplasma",0.107395129824203,0.728835424450226,0.0860249385610648,0.603954844066289
"Nostoc",0.139400452410111,0.782481418775187,0.0808129878061181,0.63014207616185
"Arcanobacterium",0.0778702580171504,0.755252948975135,0.052652535261999,0.645246796316479
"Methanoregula",0.162167042619403,0.778625087719218,0.119841798907441,0.654125910376978
"Methanosaeta",0.126887235968489,0.788153276871762,0.078321564685899,0.654889524211097
"unclassified (derived from Euryarchaeota)",0.133000593813567,0.776026055895409,0.0957025512584439,0.659308459414701
"unclassified (derived from Chroococcales)",0.168963957460796,0.759968359089429,0.146233885925271,0.66238415659833
"unclassified (derived from Viruses)",0.133048307135148,0.790107788104325,0.073717072006632,0.669698065981166
"Legionella",0.151716063891551,0.784337474489698,0.101457665952028,0.673431471956774
"SPO1-like viruses",0.105033248132412,0.746271013470299,0.105022301939679,0.679147985780571
"Talaromyces",0.177824058210176,0.771526402322478,0.136249733391622,0.682285957961331
"Gallionella",0.145176027463849,0.784340713711437,0.104682936048634,0.683513999227845
"Veillonella",0.0888641658626881,0.801312802173864,0.0590774878961611,0.684469722825542
"Bdellovibrio",0.185885012965959,0.787327229513724,0.158122103732582,0.684907294849236
"Meiothermus",0.169274574134677,0.792324799520934,0.115771938634951,0.68561511552815
"Hyperthermus",0.252328404367279,0.824842279691884,0.156903168453569,0.693974519906189
"Cupriavidus",0.0769042147426596,0.752256982708268,0.0813118471084213,0.696436544910241
"Yarrowia",0.260001672279151,0.801502244602621,0.210187278924835,0.69775371363711
"Ktedonobacter",0.159843215881893,0.799505486302374,0.108905613237538,0.699079557924752
"Vanderwaltozyma",0.119072057167559,0.798472822611834,0.0872855832739183,0.70185358970314
"Aerococcus",0.0757214873706478,0.737908091328014,0.0888454651718296,0.71063934346098
"N4-like viruses",0.221816066973511,0.813311113153948,0.195891556122549,0.718520493229865
"Burkholderia",0.10083174387557,0.773635293960902,0.0945506083192945,0.720811399420298
"Candidatus Phytoplasma",0.101429640285365,0.757387377012497,0.119429110096441,0.722703828914542
"Halogeometricum",0.206879348662926,0.819821554578567,0.152396822274735,0.726206588247166
"Bordetella",0.144016316028675,0.816601087046318,0.101510870778392,0.726875186690248
"Methylobacillus",0.156010817151501,0.791273918160482,0.142438493449113,0.727464961078638
"Arthrospira",0.228689594871871,0.817847440339694,0.172947098065688,0.727710690845097
"Delftia",0.0491702532634025,0.676825730297997,0.0946624489595497,0.727718438346624
"Parachlamydia",0.281873211926067,0.832924455042924,0.209471652507192,0.732776182139605
"Gammaretrovirus",0.117964740035957,0.75978097242784,0.191011509067347,0.733483155273625
"Metallosphaera",0.236838876975493,0.797596364519423,0.215126336839258,0.733509227424374
"Archaeoglobus",0.177473405822422,0.822916523375609,0.134916879940749,0.742650988605396
"Azorhizobium",0.195414766934507,0.813051468270584,0.169478196162384,0.743116331764197
"Selenomonas",0.120795230162906,0.822240943783261,0.0843722867604935,0.745581752914744
"Dichelobacter",0.161945393111719,0.807047796132514,0.152425628563254,0.746277035776567
"Nakaseomyces",0.160552371950112,0.822295242794059,0.10879062433305,0.747402043256303
"Thiobacillus",0.16815013878796,0.799567073140309,0.154438219886383,0.747930913998491
"Reclinomonas",0.294257977710595,0.85458009041323,0.207854525978299,0.748742525219646
"Clavibacter",0.135058380688896,0.825510157473087,0.0989081589933228,0.750418289352376
"Microcoleus",0.207962782874568,0.801332369814084,0.203227455259539,0.750580124628461
"Gordonia",0.180641099260434,0.808930768666803,0.132317757085783,0.750725825229779
"Staphylothermus",0.301325894942152,0.839634618662869,0.244052209190381,0.752566724278337
"Nitrosococcus",0.191827780562515,0.809957068991934,0.183262220416719,0.754794195010067
"Oribacterium",0.185795996073161,0.841676512448611,0.0948037307495511,0.759844595513988
"Podospora",0.408314091332491,0.877438496410827,0.148328308260148,0.760091185394385
"Borrelia",0.166236782186372,0.832537433151125,0.114783145222718,0.760586280361602
"Natrialba",0.279039300654683,0.837653859408746,0.220174991363072,0.761362316557951
"Cyanidioschyzon",0.261067207008775,0.804233280573082,0.243213079020879,0.762087320349337
"Thermaerobacter",0.256816951951466,0.840178053804051,0.175760113734659,0.763298328677428
"Rhodopseudomonas",0.235661455488493,0.836419625140892,0.157608707476532,0.764657419488538
"Teredinibacter",0.262039114314155,0.838283891830064,0.193535330016694,0.766827629009666
"Mesoplasma",0.190907694921591,0.818078612380785,0.174302004511127,0.767064853183962
"Anaerobaculum",0.176910194935707,0.809867864900274,0.184722321608084,0.768545889221862
"Oligotropha",0.288235751730168,0.825983929561536,0.265614294085329,0.769494711256024
"Lyngbya",0.233352692411246,0.815158757885705,0.241557528621935,0.769689909126926
"Phaeosphaeria",0.336810482482913,0.852017475238938,0.252533159948498,0.77078816188722
"Wolinella",0.0904724039100646,0.788735106724547,0.110111106105902,0.770942836778862
"Beggiatoa",0.153486993361124,0.805657681298174,0.17219643499017,0.771446576335174
"Actinobacillus",0.116849908515301,0.805174928529137,0.119495746223972,0.772271689686481
"Thermobispora",0.17143793511945,0.814777353553004,0.160907319227731,0.772338608638178
"Rhodospirillum",0.350038740378863,0.857108097377002,0.20162613690006,0.772376584771435
"unclassified (derived from Ruminococcaceae)",0.219271341461876,0.848900274884628,0.105193861387708,0.773126557015299
"unclassified (derived from Deltaproteobacteria)",0.216205999220305,0.829161013071192,0.185855152322509,0.776764190253569
"Candidatus Korarchaeum",0.254806580327721,0.825803636347681,0.225814098273517,0.779746980722225
"Hydrogenobaculum",0.180590003793736,0.807696842385695,0.211838268032275,0.782445688607524
"Halomicrobium",0.221700227736053,0.813815479345976,0.236602717216965,0.782604783323634
"Stenotrophomonas",0.136987765080658,0.793530291679285,0.166824944028945,0.782655208130391
"Thermoplasma",0.13397074346584,0.797431508602745,0.159578950871115,0.783587861822509
"Methanopyrus",0.360864476966234,0.873925135921872,0.217377054829219,0.784350945392168
"Histophilus",0.151659696700336,0.824975436281941,0.144721525988944,0.785998685185687
"Chelativorans",0.278611778200591,0.837011209506955,0.247031343572455,0.78629554837633
"Trichodesmium",0.224462102782796,0.833504891460415,0.216684400945577,0.786590328772495
"Kluyveromyces",0.226807445589132,0.838995149332791,0.172248035616202,0.786898523961748
