"","rab.all","rab.win.Control","rab.win.Tomato","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"unclassified (derived from Bacteria)",0.387800664264812,0.0656786293555296,0.992411513535457,0.914803953127809,0.345739204574329,2.54283248518272,1.40362900631194e-05,2.91190213859659e-06,0.000130184199239088,1.0825088224469e-05,0.000446697265582715
"Nematoda",-2.6749909474504,-2.95901972134146,-2.26002985863084,0.740729277973136,0.527395293315363,1.37852408903764,0.038800010305335,0.000618288039003013,0.00831079482853596,0.000318127692740696,0.00437517494115791
"Apicomplexa",-2.06076306409329,-2.42788184919164,-1.55667791450464,0.800966816868568,0.616023791575934,1.23184391175603,0.0901819677679345,0.001138476949562,0.0131839873014319,0.00154056160557709,0.014792988758519
"Deinococcus-Thermus",0.893433147819234,0.966378450738415,0.79348254167618,-0.175648293656289,0.1458435005243,-1.14703136205536,0.0980000037897636,0.00627794674775047,0.0330378200022153,0.00472511853471606,0.0286455737623236
"Proteobacteria",6.47351685155425,6.42180997343471,6.60201168599752,0.199268845613013,0.207112637715683,0.96842220381653,0.132373527961295,0.00649626689592167,0.0402455424599716,0.00633701747169239,0.0366220310915744
"Firmicutes",10.6381374890381,10.6954982325498,10.4067026652374,-0.313734643113062,0.333946709611145,-0.871052609303245,0.16916616872742,0.0102429006607772,0.0586362287881562,0.0130723224144277,0.0637136780435904
"Dictyoglomi",-0.21982719697018,-0.145867647956759,-0.331963183867686,-0.198727835053705,0.213948908908257,-0.863387381129836,0.151000002268608,0.0154086715999512,0.0644601362246429,0.0186036718699257,0.0654460900134985
"Basidiomycota",-2.2640401757069,-2.36072771644884,-1.93685861924141,0.406057526875485,0.348554298383336,0.964753132658769,0.181400001787951,0.0177460339818443,0.0649466348536964,0.02866059018381,0.0879068691944492
"Ascomycota",0.241558267518514,0.160129008125256,0.748393755142899,0.600111626297685,0.587869625420376,0.897424374135326,0.230200001268754,0.0144242766779675,0.0683872416939808,0.0506899045227219,0.138666754147189
"Fibrobacteres",2.00945397711049,2.10381139577571,1.9034435515495,-0.398787853469927,0.540375442556502,-0.633223187054407,0.174365128858811,0.0210882561825721,0.085275282071756,0.0153811513563836,0.0693103014190255
"Fusobacteria",3.51901865550696,3.58136392871303,3.46121021541532,-0.113179998178029,0.14745266182877,-0.670848210166241,0.19516096942308,0.048159897383295,0.132514039501867,0.0339823226309294,0.105681354723822
"Acidobacteria",0.957013944858045,0.999758611765651,0.892092575184955,-0.140625708986458,0.204610048818511,-0.653118215693005,0.233553290582034,0.0535038061196729,0.136147388794961,0.0740216501764489,0.167614775155838
"Chloroflexi",2.53500410313142,2.56720139368114,2.48905889021478,-0.116717893569692,0.189983927762274,-0.563489510530309,0.253200001087667,0.0614229389602665,0.151521027848757,0.0850401394271363,0.186500739049192
"Thermotogae",1.97230997401831,2.00080405392095,1.88810425852299,-0.118371623734411,0.174159530824063,-0.595024549492243,0.249750051102521,0.0670104806388671,0.158632514523047,0.0898507112082964,0.190266764239746
"Tenericutes",1.11680118419276,1.04819648475746,1.20008203361296,0.147293822382871,0.236504688439156,0.599240975144257,0.253400001086219,0.0708251288073943,0.160143023760683,0.0837953625322046,0.182333347886947
"Microsporidia",-4.36529371978554,-4.13786712452867,-4.63347657382377,-0.547512520883965,0.871379166240717,-0.595187004946416,0.239600001191052,0.0705342265438756,0.161976405887292,0.0782323605187382,0.170950110672195
"Synergistetes",1.82318937010946,1.92740095877361,1.75525183574021,-0.156199868213111,0.231079300353151,-0.568716881921585,0.24340000116115,0.0716078925497571,0.170750477424165,0.0713409361536297,0.170940440743213
"Crenarchaeota",-0.934916655628747,-0.886114498744768,-1.08317314581146,-0.187445904169824,0.287098008275378,-0.568408767307553,0.281800000898436,0.0954327076452535,0.195613591121672,0.150493753924095,0.265363907002109
"Bacillariophyta",-3.45070517997251,-3.57160905069976,-3.18199393622183,0.366836027618737,0.550843384113267,0.596196201305725,0.262400001023011,0.115868426905298,0.216644998415224,0.1118416073091,0.216418129004518
"Chlamydiae",-1.16203568314099,-1.12659552362394,-1.21689170054722,-0.117941009786738,0.262189359446379,-0.342975379710702,0.290741852474983,0.109332088247186,0.217080666031931,0.184305657191106,0.290469360154142
"Euryarchaeota",3.42400663800881,3.45309389624204,3.32943719940344,-0.12637220713937,0.23280196679378,-0.484764371273085,0.306138773005781,0.1241458111473,0.2330652378446,0.18072570308948,0.302138115790079
"Spirochaetes",3.20722408487705,3.24599991818672,3.14056622867112,-0.102271482421779,0.190724573769826,-0.48833461084463,0.275200000939179,0.129876797416982,0.235929709525448,0.121698813570331,0.234821736121438
"Chlorobi",1.86350015515321,1.90009400694675,1.79625447125885,-0.10334289204402,0.187110128877807,-0.508995963005523,0.290941812481831,0.135176263504804,0.240263715231047,0.164921637186343,0.282708276142118
"Korarchaeota",-4.45931009855715,-4.34667850031868,-4.59015714669505,-0.320410850305623,0.691245275954346,-0.416413617326857,0.310000000740221,0.146817664823657,0.253993788353943,0.230521596051008,0.340832768827771
"Hemichordata",-6.46501670470667,-6.29726554285999,-6.75248186914984,-0.531084138023133,1.21262882585647,-0.376053718132451,0.320935813521856,0.181168658029593,0.289804676938175,0.271316092576155,0.381923779969513
"unclassified (derived from other sequences)",-4.84018507974815,-4.93840544153216,-4.44224373717764,0.658183197544901,1.67199797114927,0.376195348380163,0.33720000060702,0.172396772191925,0.294052646973984,0.25443933620559,0.387921437302174
"Nitrospirae",-1.17029599019277,-1.1280444783423,-1.26412833760823,-0.128135870276824,0.26840448618761,-0.42162869337228,0.321800000680429,0.234732540639374,0.347796690868717,0.243424711511399,0.362064258923864
"Deferribacteres",0.122002205211581,0.138833038889107,0.102583506583052,-0.0764168629903583,0.233822802362486,-0.304578284997191,0.36700000047709,0.252709614771596,0.371161780299655,0.372397140011691,0.493372297630154
"Bacteroidetes",9.9381975794326,10.0372335121527,9.81936344109262,-0.198791477756086,0.549892323052786,-0.312286321905536,0.341200000588717,0.241999369549715,0.372595395512436,0.248896349780251,0.38768162235858
"Candidatus Poribacteria",-5.34494085125765,-5.47499440212724,-5.17947926331288,0.304417481787208,0.688344979957745,0.405341715803004,0.319536093472813,0.302679459901755,0.407524955316748,0.280230022299682,0.388435993805955
"Cyanobacteria",2.85242274046885,2.87360368272342,2.84846231234781,0.0284925092061155,0.322594830485192,0.0471179728106616,0.459308138508815,0.292595474056395,0.434815306918232,0.7517004048583,0.826753566082613
"Nanoarchaeota",-7.98780206604921,-7.86310059236009,-8.32219954834744,-0.393732898938736,2.30585519333459,-0.133543268944181,0.434000000223901,0.41637219935625,0.539164276976766,0.563691506635779,0.665422117849743
"Chrysiogenetes",-2.18239334795752,-2.15823244504699,-2.22878242538556,-0.0738257881883175,0.342245376838434,-0.191851006901617,0.411400000304908,0.431691192173279,0.545242451569203,0.543100889822252,0.643180418820814
"Chlorophyta",-1.6952870001824,-1.72415566650049,-1.63835892712602,0.0804027440352773,0.352351368100636,0.205681748075944,0.404719056518201,0.486542831376598,0.598530166797725,0.520660481932928,0.628572087001511
"Placozoa",-4.87718265173768,-5.01214912894511,-4.70654428730913,0.289916236047991,0.853122682426453,0.284978870452588,0.35772845482495,0.500475331843079,0.601629985800163,0.371113089696681,0.488074408197801
"unclassified (derived from Eukaryota)",0.321255991917511,0.361816133705553,0.280835963034209,-0.0236348436390115,0.428081399046761,-0.0342162759271778,0.477000000076829,0.472808728738024,0.612124923144868,0.821793045963325,0.87534374358837
"Thaumarchaeota",-4.36602766837344,-4.3745800540426,-4.35314595235176,0.0149144238105112,0.571845284748465,0.0252671404702428,0.490000000033347,0.633885477212762,0.717689490833027,0.639464905063976,0.728050678709307
