"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"unclassified (derived from Bacteria)",0.00152204882195268,0.0593091931415999,9.59554125146274e-06,0.00043165730498337
"Tenericutes",0.00514710838242656,0.107545971510441,0.00615096737278559,0.114707565192996
"Aquificae",0.0368299072251511,0.352175899632408,0.0264341458188797,0.277309291161358
"Hemichordata",0.179519538922181,0.573941575978435,0.11226913233317,0.480099006152891
"Basidiomycota",0.13342068530851,0.577394285075331,0.108133892659015,0.550990563750494
"Ascomycota",0.193287637878456,0.684266010807584,0.0918677242096308,0.595248490952802
"Korarchaeota",0.222296184356708,0.622936827840718,0.18834403790443,0.605920420169089
"Verrucomicrobia",0.0637224162714352,0.493888960716828,0.178525753853114,0.697600223560452
"Chlorophyta",0.368015486243502,0.764299717307497,0.278216559630143,0.716919275869124
"Fibrobacteres",0.308288920650186,0.770712500397667,0.253183831787879,0.728913386005963
"Apicomplexa",0.222572891313923,0.706379558285616,0.269875204297967,0.731313693205444
"Chlamydiae",0.359874612543749,0.750231526571962,0.358295899145488,0.733397880240532
"Euryarchaeota",0.457076072366412,0.81357798599436,0.279748852357822,0.736425884385661
"Cyanobacteria",0.133635305963759,0.620311161866037,0.277697656027663,0.73891383483478
"Placozoa",0.325129116646364,0.719094744949339,0.379029394546341,0.742434645281167
"Planctomycetes",0.12289777800826,0.608921618698505,0.318211362079425,0.745793074480855
"Chrysiogenetes",0.433783691100771,0.780910047690722,0.418700114861646,0.758433127047353
"Microsporidia",0.437635060759873,0.775391333611008,0.414850807395082,0.758678301533826
"Proteobacteria",0.507990266263258,0.831313561914171,0.372817125351316,0.759265777367905
"Crenarchaeota",0.413108673771967,0.778313012973805,0.395298028388031,0.759313934417977
"Chlorobi",0.604297591231744,0.859162721043117,0.3671570376395,0.762171008244886
"Spirochaetes",0.465221497232116,0.814282308570502,0.380963615440191,0.764404784965171
"Nanoarchaeota",0.573502752123458,0.844439478645651,0.407603893337843,0.766001221986887
"Nitrospirae",0.531376191832082,0.82437434383725,0.446326913462283,0.773278021073315
"Firmicutes",0.420184367273549,0.811532077042748,0.403259401320507,0.774511632614845
"Gemmatimonadetes",0.325719268592733,0.750133975415384,0.432635583186763,0.786191911114761
"Deferribacteres",0.472905942221995,0.813068203091937,0.488584626052562,0.80165899863822
"Candidatus Poribacteria",0.570487557302699,0.83201120837907,0.530691953501249,0.808076540096567
"Elusimicrobia",0.583041444727218,0.84381487060754,0.524220319518542,0.815006754734851
"Lentisphaerae",0.526755671058861,0.835402659776072,0.552911606933548,0.833170130401303
"Bacillariophyta",0.670940303907061,0.877309784730812,0.600418272729458,0.847639837369604
"Synergistetes",0.413660866759009,0.79651910587013,0.599193436567979,0.851876507412839
"Fusobacteria",0.678121588105257,0.877437713814923,0.638004605512447,0.852300326424413
"Chloroflexi",0.578813885640462,0.849698587352437,0.650078766951635,0.857190871918449
"unclassified (derived from Eukaryota)",0.760459231776852,0.90990172048975,0.636679664954545,0.859867411376556
"Nematoda",0.555456739092222,0.84391773956047,0.653367357318881,0.869200577313416
"Thaumarchaeota",0.70587315953603,0.890262866711976,0.669329251288169,0.872125902976292
"Deinococcus-Thermus",0.686040961982333,0.886814115724068,0.671370453342141,0.87761910867657
"Acidobacteria",0.716478645530528,0.894370059898451,0.707511321964583,0.884312316877941
"Thermotogae",0.73385423965674,0.895488344476547,0.731958945962917,0.884710751515307
"unclassified (derived from other sequences)",0.761545650809831,0.912225929374012,0.758437401179462,0.91051866087113
"Dictyoglomi",0.817767168298429,0.929740097397554,0.796541886905739,0.923225592193469
"Bacteroidetes",0.95567065162768,0.971158548801927,0.873311443313345,0.950040369830431
"unclassified (derived from Viruses)",0.478240872178789,0.823458720816107,0.950677424934322,0.975977357855779
"Actinobacteria",0.909622784962064,0.957319216847315,0.97459084158239,0.981115465513786
